FIPS	relig	civic	bus	pol	prof	labor	bowl	fitns	golf	sport	pop	respn	nccs	assn	pvote
1001	53	7	3	N/A	1	4	1	5	2	N/A	55290	1.374570447	0.78	157	0.644955609
1003	169	16	9	N/A	3	1	1	25	7	N/A	199713	1.156659807	0.73	718	0.674735405
1005	19	1	1	N/A	N/A	N/A	N/A	N/A	1	N/A	26815	0.820436323	0.63	92	0.665030604
1007	20	N/A	1	N/A	N/A	N/A	N/A	1	1	N/A	22549	1.020000887	0.58	54	0.656837507
1009	39	N/A	1	N/A	N/A	3	N/A	3	3	N/A	57658	0.849838704	0.8	108	0.708668375
1011	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	10829	1.015790932	0.34	40	0.680823845
1013	19	N/A	N/A	N/A	N/A	1	N/A	1	3	N/A	20276	1.183665417	0.56	74	0.704478055
1015	133	11	5	1	N/A	6	1	7	6	N/A	115993	1.465605683	0.75	409	0.661464055
1017	59	1	1	N/A	N/A	N/A	1	N/A	1	N/A	34052	1.850111594	0.74	100	0.598005151
1019	21	1	1	N/A	N/A	1	N/A	1	1	N/A	25995	1.000192345	0.55	53	0.638206348
1021	64	1	1	N/A	N/A	1	N/A	2	1	N/A	43921	1.593770634	0.72	97	0.626208724
1023	23	N/A	N/A	N/A	N/A	4	N/A	N/A	1	N/A	13289	2.107005794	0.57	63	0.725882781
1025	40	1	2	N/A	N/A	2	N/A	3	1	N/A	24847	1.972069063	0.57	88	0.720486562
1027	12	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13538	0.960260009	0.7	42	0.636823036
1029	12	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	15072	0.862526539	0.67	36	0.632849274
1031	67	N/A	4	N/A	N/A	2	1	4	3	N/A	50831	1.593515768	0.71	143	0.628141341
1033	67	4	2	N/A	N/A	15	N/A	6	2	N/A	54480	1.762114537	0.74	171	0.638366236
1035	12	N/A	1	N/A	N/A	N/A	N/A	N/A	1	N/A	12662	1.10567051	0.53	45	0.659129293
1037	12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10807	1.110391413	0.47	38	0.638385303
1039	40	N/A	2	N/A	N/A	N/A	N/A	3	3	N/A	37888	1.266891892	0.64	142	0.65975813
1041	14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	13948	1.075423	0.65	36	0.659887006
1043	87	2	1	N/A	1	1	1	3	2	1	81221	1.218896591	0.76	198	0.661960499
1045	49	3	2	N/A	N/A	4	N/A	2	1	N/A	49501	1.232298337	0.6	120	0.58117228
1047	49	4	2	N/A	N/A	2	N/A	2	1	N/A	41662	1.440161298	0.63	237	0.635099518
1049	50	2	2	N/A	N/A	3	N/A	3	1	N/A	71012	0.859009745	0.7	161	0.626586087
1051	70	2	5	N/A	N/A	1	N/A	4	2	N/A	81022	1.036755449	0.78	238	0.72744761
1053	49	1	2	N/A	N/A	1	N/A	2	1	N/A	37784	1.482108829	0.7	160	0.648467433
1055	132	5	5	N/A	1	11	1	9	4	N/A	103452	1.623941538	0.76	343	0.646062903
1057	15	N/A	1	N/A	N/A	2	N/A	N/A	1	N/A	16842	1.128132051	0.78	55	0.693084828
1059	26	N/A	2	N/A	N/A	1	N/A	3	1	N/A	31592	1.044568245	0.72	76	0.523628489
1061	24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	26707	0.936084173	0.73	60	0.672223541
